Frame_n,Frame_n+1,Matches,Inliers,Inlier_Ratio
59,60,1059,1057,0.9981114258734656
60,61,970,964,0.9938144329896907
61,62,981,978,0.9969418960244648
62,63,1050,1044,0.9942857142857143
63,64,1058,1051,0.9933837429111532
64,65,1015,1006,0.9911330049261083
65,66,907,902,0.9944873208379272
66,67,1023,1019,0.9960899315738025
67,68,1038,1033,0.9951830443159922
68,69,1088,1083,0.9954044117647058
69,70,1058,1051,0.9933837429111532
70,71,980,974,0.9938775510204082
71,72,1041,1036,0.9951969260326609
72,73,1013,1008,0.9950641658440277
73,74,901,896,0.9944506104328524
74,75,940,934,0.9936170212765958
75,76,942,935,0.9925690021231423
76,77,747,735,0.9839357429718876
77,78,820,810,0.9878048780487805
78,79,872,865,0.9919724770642202
79,80,941,934,0.9925611052072264
80,81,1013,1009,0.9960513326752222
81,82,820,816,0.9951219512195122
82,83,910,902,0.9912087912087912
83,84,842,832,0.9881235154394299
84,85,880,868,0.9863636363636363
85,86,874,857,0.9805491990846682
86,87,906,900,0.9933774834437086
87,88,955,951,0.9958115183246073
88,89,965,953,0.9875647668393782
89,90,906,897,0.9900662251655629
90,91,949,942,0.9926238145416227
91,92,1026,1024,0.9980506822612085
92,93,1047,1044,0.997134670487106
93,94,994,988,0.993963782696177
94,95,1022,1021,0.9990215264187867
95,96,1053,1050,0.9971509971509972
96,97,745,735,0.9865771812080537
97,98,851,843,0.9905992949471211
98,99,924,917,0.9924242424242424
99,100,1024,1021,0.9970703125
100,101,889,881,0.9910011248593926
101,102,819,811,0.9902319902319903
102,103,726,718,0.9889807162534435
103,104,924,921,0.9967532467532467
104,105,874,872,0.9977116704805492
105,106,968,960,0.9917355371900827
106,107,683,674,0.986822840409956
107,108,656,644,0.9817073170731707
108,109,800,789,0.98625
109,110,789,787,0.9974651457541192
110,111,964,955,0.9906639004149378
111,112,977,974,0.9969293756397134
112,113,897,889,0.9910813823857302
113,114,817,810,0.9914320685434517
114,115,588,576,0.9795918367346939
115,116,407,397,0.9754299754299754
116,117,893,885,0.9910414333706606
117,118,830,820,0.9879518072289156
118,119,488,478,0.9795081967213115
119,120,859,854,0.9941792782305006
120,121,607,597,0.9835255354200988
121,122,887,880,0.992108229988726
122,123,911,904,0.9923161361141603
123,124,955,931,0.974869109947644
124,125,705,698,0.9900709219858156
125,126,815,810,0.9938650306748467
126,127,930,922,0.9913978494623656
127,128,736,731,0.9932065217391305
128,129,817,810,0.9914320685434517
129,130,882,875,0.9920634920634921
130,131,1011,1006,0.9950544015825915
131,132,943,932,0.9883351007423118
132,133,949,938,0.9884088514225501
133,134,751,742,0.9880159786950732
134,135,872,863,0.9896788990825688
135,136,864,859,0.9942129629629629
136,137,928,921,0.9924568965517241
137,138,842,835,0.9916864608076009
138,139,747,742,0.9933065595716198
139,140,938,934,0.9957356076759062
140,141,982,973,0.9908350305498982
141,142,1003,992,0.9890329012961117
142,143,1024,1019,0.9951171875
143,144,938,936,0.997867803837953
144,145,921,916,0.99457111834962
145,146,813,812,0.998769987699877
146,147,906,902,0.9955849889624724
147,148,868,865,0.9965437788018433
148,149,956,948,0.9916317991631799
149,150,644,638,0.9906832298136646
150,151,665,661,0.9939849624060151
151,152,847,841,0.9929161747343566
152,153,547,539,0.9853747714808044
153,154,685,679,0.9912408759124087
154,155,754,745,0.9880636604774535
155,156,805,799,0.9925465838509316
156,157,883,875,0.9909399773499433
157,158,677,666,0.983751846381093
158,159,997,990,0.9929789368104313
159,160,945,937,0.9915343915343915
160,161,955,946,0.9905759162303664
161,162,749,738,0.9853137516688919
162,163,785,775,0.9872611464968153
163,164,418,397,0.9497607655502392
164,165,622,608,0.977491961414791
165,166,777,762,0.9806949806949807
166,167,468,452,0.9658119658119658
167,168,600,579,0.965
168,169,684,673,0.9839181286549707
169,170,390,369,0.9461538461538461
170,171,613,596,0.9722675367047309
171,172,328,297,0.9054878048780488
172,173,846,838,0.9905437352245863
173,174,644,630,0.9782608695652174
174,175,591,579,0.9796954314720813
175,176,405,384,0.9481481481481482
176,177,618,601,0.9724919093851133
177,178,398,377,0.9472361809045227
178,179,569,556,0.9771528998242531
179,180,427,395,0.9250585480093677
180,181,574,561,0.9773519163763066
181,182,587,575,0.979557069846678
182,183,696,686,0.985632183908046
183,184,680,667,0.9808823529411764
184,185,732,719,0.98224043715847
185,186,341,323,0.9472140762463344
186,187,513,496,0.9668615984405458
187,188,522,500,0.9578544061302682
188,189,353,313,0.886685552407932
189,190,446,386,0.8654708520179372
190,191,536,467,0.871268656716418
191,192,401,338,0.8428927680798005
192,193,534,511,0.9569288389513109
193,194,612,593,0.9689542483660131
194,195,412,376,0.912621359223301
195,196,544,516,0.9485294117647058
196,197,515,472,0.916504854368932
197,198,213,160,0.7511737089201878
198,199,253,198,0.782608695652174
199,200,284,210,0.7394366197183099
200,201,202,140,0.693069306930693
201,202,467,435,0.9314775160599572
202,203,285,251,0.8807017543859649
203,204,593,574,0.9679595278246206
204,205,535,522,0.9757009345794393
205,206,716,707,0.9874301675977654
206,207,791,775,0.9797724399494311
207,208,710,695,0.9788732394366197
208,209,843,833,0.9881376037959668
209,210,784,772,0.9846938775510204
210,211,870,856,0.9839080459770115
211,212,776,763,0.9832474226804123
212,213,776,761,0.9806701030927835
213,214,873,860,0.9851088201603666
214,215,811,796,0.9815043156596794
215,216,910,905,0.9945054945054945
216,217,848,842,0.9929245283018868
217,218,878,872,0.9931662870159453
218,219,719,711,0.9888734353268428
219,220,769,760,0.988296488946684
220,221,695,680,0.9784172661870504
221,222,742,728,0.9811320754716981
222,223,773,756,0.9780077619663649
223,224,894,880,0.9843400447427293
224,225,1013,1002,0.9891411648568608
225,226,915,905,0.9890710382513661
226,227,891,878,0.9854096520763187
227,228,951,944,0.9926393270241851
228,229,995,985,0.9899497487437185
229,230,724,713,0.9848066298342542
230,231,635,623,0.9811023622047244
231,232,855,836,0.9777777777777777
232,233,753,739,0.9814077025232404
233,234,975,970,0.9948717948717949
234,235,925,915,0.9891891891891892
235,236,908,897,0.987885462555066
236,237,979,961,0.9816138917262512
237,238,985,978,0.9928934010152284
238,239,943,939,0.9957582184517497
239,240,943,934,0.9904559915164369
240,241,967,959,0.9917269906928645
241,242,1029,1024,0.9951409135082604
242,243,1009,1003,0.9940535183349851
243,244,981,973,0.9918450560652395
244,245,939,914,0.9733759318423855
245,246,955,949,0.993717277486911
246,247,905,896,0.9900552486187846
247,248,829,823,0.9927623642943305
248,249,983,981,0.9979654120040692
249,250,876,872,0.9954337899543378
250,251,833,824,0.9891956782713085
251,252,833,825,0.9903961584633854
252,253,984,980,0.9959349593495935
253,254,861,853,0.9907084785133565
254,255,971,965,0.9938208032955715
255,256,875,866,0.9897142857142858
256,257,906,896,0.9889624724061811
257,258,965,956,0.9906735751295337
258,259,1019,1009,0.9901864573110893
259,260,969,954,0.9845201238390093
260,261,756,748,0.9894179894179894
261,262,741,732,0.9878542510121457
262,263,675,612,0.9066666666666666
263,264,680,664,0.9764705882352941
264,265,1034,1028,0.9941972920696325
265,266,927,920,0.9924487594390508
266,267,799,753,0.9424280350438048
267,268,745,736,0.9879194630872483
268,269,773,764,0.9883570504527813
269,270,874,869,0.994279176201373
270,271,898,878,0.977728285077951
271,272,623,600,0.9630818619582665
272,273,674,638,0.9465875370919882
273,274,618,606,0.9805825242718447
274,275,513,490,0.9551656920077972
275,276,377,342,0.9071618037135278
276,277,490,457,0.9326530612244898
277,278,819,812,0.9914529914529915
278,279,815,806,0.9889570552147239
279,280,899,886,0.985539488320356
280,281,820,817,0.9963414634146341
281,282,888,874,0.9842342342342343
282,283,903,891,0.9867109634551495
283,284,827,819,0.9903264812575574
284,285,996,986,0.9899598393574297
285,286,878,861,0.9806378132118451
286,287,787,774,0.9834815756035579
287,288,784,774,0.9872448979591837
288,289,811,802,0.9889025893958077
289,290,588,576,0.9795918367346939
290,291,476,471,0.9894957983193278
291,292,394,384,0.9746192893401016
292,293,419,409,0.9761336515513126
293,294,598,593,0.9916387959866221
294,295,698,688,0.9856733524355301
295,296,650,642,0.9876923076923076
296,297,666,658,0.987987987987988
297,298,637,623,0.978021978021978
298,299,566,557,0.9840989399293286
299,300,583,567,0.9725557461406518
300,301,409,386,0.9437652811735942
301,302,274,265,0.9671532846715328
302,303,329,326,0.9908814589665653
303,304,364,360,0.989010989010989
304,305,428,422,0.985981308411215
305,306,394,341,0.8654822335025381
306,307,432,431,0.9976851851851852
307,308,475,471,0.991578947368421
308,309,527,499,0.9468690702087287
309,310,494,487,0.9858299595141701
310,311,477,462,0.9685534591194969
311,312,671,635,0.9463487332339792
312,313,664,636,0.9578313253012049
313,314,709,694,0.9788434414668548
314,315,575,569,0.9895652173913043
315,316,907,898,0.9900771775082691
316,317,794,784,0.9874055415617129
317,318,756,722,0.955026455026455
318,319,920,889,0.966304347826087
319,320,787,764,0.9707750952986023
320,321,798,786,0.9849624060150376
321,322,597,579,0.9698492462311558
322,323,636,624,0.9811320754716981
323,324,945,937,0.9915343915343915
324,325,529,521,0.9848771266540642
325,326,740,723,0.977027027027027
326,327,510,500,0.9803921568627451
327,328,639,624,0.9765258215962441
328,329,612,596,0.9738562091503268
329,330,615,600,0.975609756097561
330,331,927,921,0.9935275080906149
331,332,738,727,0.9850948509485095
332,333,751,737,0.9813581890812251
333,334,837,831,0.992831541218638
334,335,868,860,0.9907834101382489
335,336,943,939,0.9957582184517497
336,337,842,832,0.9881235154394299
337,338,739,731,0.9891745602165088
338,339,891,885,0.9932659932659933
339,340,826,818,0.9903147699757869
340,341,654,645,0.9862385321100917
341,342,800,795,0.99375
342,343,685,671,0.9795620437956204
343,344,719,711,0.9888734353268428
344,345,873,864,0.9896907216494846
345,346,777,767,0.9871299871299871
346,347,854,847,0.9918032786885246
347,348,661,656,0.9924357034795764
348,349,881,868,0.985244040862656
349,350,818,812,0.9926650366748166
350,351,765,754,0.9856209150326798
351,352,897,892,0.9944258639910813
352,353,844,834,0.9881516587677726
353,354,433,415,0.9584295612009238
354,355,746,741,0.9932975871313673
355,356,732,717,0.9795081967213115
356,357,440,424,0.9636363636363636
357,358,476,449,0.9432773109243697
358,359,505,491,0.9722772277227723
359,360,607,596,0.9818780889621087
360,361,538,522,0.9702602230483272
361,362,526,516,0.9809885931558935
362,363,724,701,0.9682320441988951
363,364,618,601,0.9724919093851133
364,365,696,685,0.9841954022988506
365,366,833,821,0.985594237695078
366,367,860,849,0.9872093023255814
367,368,734,719,0.9795640326975477
368,369,291,253,0.8694158075601375
369,370,688,674,0.9796511627906976
370,371,747,723,0.9678714859437751
371,372,801,793,0.9900124843945068
372,373,773,760,0.9831824062095731
373,374,600,581,0.9683333333333334
374,375,739,730,0.9878213802435724
375,376,756,737,0.9748677248677249
376,377,573,561,0.9790575916230366
377,378,722,703,0.9736842105263158
378,379,794,781,0.9836272040302267
379,380,827,817,0.9879081015719468
380,381,795,784,0.9861635220125786
381,382,754,741,0.9827586206896551
382,383,905,900,0.994475138121547
383,384,845,835,0.9881656804733728
384,385,838,831,0.9916467780429594
385,386,872,861,0.9873853211009175
386,387,785,773,0.9847133757961783
387,388,856,849,0.991822429906542
388,389,857,840,0.9801633605600933
389,390,843,833,0.9881376037959668
390,391,739,723,0.9783491204330176
391,392,524,515,0.982824427480916
392,393,576,556,0.9652777777777778
393,394,617,596,0.965964343598055
394,395,735,722,0.9823129251700681
395,396,660,644,0.9757575757575757
396,397,712,703,0.9873595505617978
397,398,597,585,0.9798994974874372
398,399,709,686,0.9675599435825106
399,400,866,855,0.9872979214780601
400,401,834,822,0.9856115107913669
401,402,729,722,0.99039780521262
402,403,706,696,0.9858356940509915
403,404,543,537,0.988950276243094
404,405,716,704,0.9832402234636871
405,406,684,677,0.9897660818713451
406,407,747,739,0.9892904953145917
407,408,602,595,0.9883720930232558
408,409,884,877,0.9920814479638009
409,410,859,853,0.9930151338766007
410,411,845,838,0.991715976331361
411,412,778,764,0.9820051413881749
412,413,687,676,0.9839883551673945
413,414,704,690,0.9801136363636364
414,415,417,395,0.947242206235012
415,416,856,845,0.9871495327102804
416,417,555,544,0.9801801801801802
417,418,859,847,0.9860302677532014
418,419,728,713,0.9793956043956044
419,420,828,818,0.9879227053140096
420,421,880,871,0.9897727272727272
421,422,928,915,0.9859913793103449
422,423,813,803,0.9876998769987699
423,424,1003,997,0.9940179461615155
424,425,917,905,0.9869138495092693
425,426,1014,1011,0.9970414201183432
426,427,1071,1062,0.9915966386554622
427,428,1023,1015,0.9921798631476051
428,429,1002,992,0.9900199600798403
429,430,976,973,0.9969262295081968
430,431,1038,1030,0.9922928709055877
431,432,1056,1050,0.9943181818181818
432,433,1069,1060,0.9915809167446211
433,434,1080,1073,0.9935185185185185
434,435,1041,1032,0.9913544668587896
435,436,1047,1038,0.9914040114613181
436,437,890,881,0.9898876404494382
437,438,1013,1006,0.9930898321816387
438,439,938,930,0.9914712153518124
439,440,989,981,0.9919110212335692
440,441,799,792,0.9912390488110138
441,442,894,884,0.9888143176733781
442,443,1013,1005,0.9921026653504442
443,444,1054,1052,0.9981024667931688
444,445,845,832,0.9846153846153847
445,446,969,964,0.9948400412796697
446,447,812,804,0.9901477832512315
447,448,902,899,0.9966740576496674
448,449,1017,1004,0.9872173058013766
449,450,990,981,0.990909090909091
450,451,847,844,0.9964580873671782
451,452,933,923,0.9892818863879957
452,453,843,822,0.9750889679715302
453,454,942,932,0.9893842887473461
454,455,941,926,0.9840595111583422
455,456,793,783,0.987389659520807
456,457,950,938,0.9873684210526316
457,458,860,843,0.9802325581395349
458,459,859,853,0.9930151338766007
459,460,979,971,0.9918283963227783
460,461,967,954,0.9865563598759048
461,462,965,957,0.9917098445595854
462,463,936,921,0.9839743589743589
463,464,938,923,0.9840085287846482
464,465,952,944,0.9915966386554622
465,466,758,741,0.9775725593667546
466,467,747,728,0.9745649263721553
467,468,941,903,0.9596174282678002
468,469,863,841,0.9745075318655851
469,470,981,967,0.9857288481141692
470,471,978,969,0.99079754601227
471,472,857,844,0.9848308051341891
472,473,939,928,0.9882854100106496
473,474,861,846,0.9825783972125436
474,475,1054,1042,0.9886148007590133
475,476,771,763,0.9896238651102465
476,477,937,925,0.9871931696905016
477,478,871,862,0.9896670493685419
478,479,952,945,0.9926470588235294
479,480,857,843,0.9836639439906651
480,481,919,905,0.984766050054407
481,482,834,822,0.9856115107913669
482,483,986,974,0.9878296146044625
483,484,1039,1029,0.9903753609239654
484,485,818,808,0.9877750611246944
485,486,471,462,0.9808917197452229
486,487,773,766,0.9909443725743855
487,488,821,812,0.9890377588306942
488,489,679,672,0.9896907216494846
489,490,757,745,0.9841479524438573
490,491,911,901,0.9890230515916575
491,492,820,809,0.9865853658536585
492,493,816,813,0.9963235294117647
493,494,1007,1002,0.9950347567030785
494,495,1017,1010,0.9931170108161259
495,496,984,979,0.9949186991869918
496,497,676,669,0.9896449704142012
497,498,757,732,0.9669749009247027
498,499,839,828,0.9868891537544696
499,500,901,891,0.9889012208657048
500,501,752,741,0.9853723404255319
501,502,953,941,0.9874081846799581
502,503,961,958,0.9968782518210197
503,504,918,906,0.9869281045751634
504,505,789,781,0.9898605830164765
505,506,780,748,0.958974358974359
506,507,838,784,0.9355608591885441
507,508,882,858,0.9727891156462585
508,509,712,699,0.9817415730337079
509,510,627,598,0.9537480063795853
510,511,706,676,0.9575070821529745
511,512,650,600,0.9230769230769231
512,513,620,604,0.9741935483870968
513,514,550,474,0.8618181818181818
514,515,664,637,0.9593373493975904
515,516,631,619,0.9809825673534073
516,517,537,521,0.9702048417132216
517,518,503,494,0.9821073558648111
518,519,571,551,0.9649737302977233
519,520,465,444,0.9548387096774194
520,521,398,368,0.9246231155778895
521,522,529,499,0.943289224952741
522,523,548,511,0.9324817518248175
523,524,569,543,0.9543057996485061
524,525,555,539,0.9711711711711711
525,526,452,431,0.9535398230088495
526,527,459,442,0.9629629629629629
527,528,547,520,0.9506398537477148
528,529,538,499,0.9275092936802974
529,530,598,577,0.9648829431438127
530,531,751,725,0.9653794940079894
531,532,773,734,0.9495472186287193
532,533,843,820,0.9727164887307236
533,534,926,897,0.968682505399568
534,535,917,903,0.9847328244274809
535,536,925,899,0.9718918918918918
536,537,895,875,0.9776536312849162
537,538,757,721,0.952443857331572
538,539,831,813,0.9783393501805054
539,540,957,945,0.987460815047022
540,541,666,654,0.9819819819819819
541,542,891,869,0.9753086419753086
542,543,860,846,0.9837209302325581
543,544,726,699,0.9628099173553719
544,545,598,590,0.9866220735785953
545,546,629,624,0.9920508744038156
546,547,803,790,0.9838107098381071
547,548,838,831,0.9916467780429594
548,549,819,810,0.989010989010989
549,550,955,948,0.9926701570680628
550,551,872,865,0.9919724770642202
551,552,939,933,0.9936102236421726
552,553,998,990,0.9919839679358717
553,554,997,992,0.9949849548645938
554,555,998,992,0.9939879759519038
555,556,978,967,0.9887525562372188
556,557,975,962,0.9866666666666667
557,558,894,886,0.9910514541387024
558,559,926,915,0.9881209503239741
559,560,978,968,0.9897750511247444
560,561,1053,1039,0.9867046533713201
561,562,1028,1021,0.9931906614785992
562,563,1042,1032,0.9904030710172744
563,564,1048,1041,0.9933206106870229
564,565,1035,1030,0.9951690821256038
565,566,1014,1004,0.9901380670611439
566,567,1036,1026,0.9903474903474904
567,568,1010,1000,0.9900990099009901
568,569,994,987,0.9929577464788732
569,570,990,981,0.990909090909091
570,571,917,905,0.9869138495092693
571,572,1000,997,0.997
572,573,974,960,0.9856262833675564
573,574,995,992,0.9969849246231156
574,575,878,863,0.9829157175398633
575,576,777,767,0.9871299871299871
576,577,888,882,0.9932432432432432
577,578,830,820,0.9879518072289156
578,579,989,984,0.9949443882709808
579,580,883,872,0.9875424688561721
580,581,816,803,0.9840686274509803
581,582,1023,1012,0.989247311827957
582,583,1027,1020,0.9931840311587147
583,584,946,940,0.9936575052854123
584,585,982,973,0.9908350305498982
585,586,912,904,0.9912280701754386
586,587,1042,1033,0.991362763915547
587,588,1006,994,0.9880715705765407
588,589,1033,1019,0.9864472410454985
589,590,1036,1020,0.9845559845559846
590,591,1018,1002,0.9842829076620825
591,592,941,924,0.9819341126461212
592,593,931,921,0.9892588614393125
593,594,846,839,0.991725768321513
594,595,1106,1080,0.976491862567812
595,596,1020,988,0.9686274509803922
596,597,1015,975,0.9605911330049262
597,598,1035,1002,0.9681159420289855
598,599,1023,996,0.9736070381231672
599,600,1014,992,0.9783037475345168
600,601,1009,991,0.9821605550049554
601,602,1015,1004,0.9891625615763546
602,603,1016,984,0.968503937007874
603,604,1017,984,0.967551622418879
604,605,1008,965,0.9573412698412699
605,606,1035,1006,0.9719806763285024
606,607,1084,1054,0.9723247232472325
607,608,1071,1053,0.9831932773109243
608,609,1005,966,0.9611940298507463
609,610,1025,995,0.9707317073170731
610,611,998,965,0.966933867735471
611,612,1015,982,0.967487684729064
